THRESHOLD, SCORE, UPPER ANGLE, UPPER THRESHOLD, UPPER_LOAD_CELL, LOWER ANGLE, LOWER THRESHOLD, LOWER_LOAD_CELL, DEP, DEM, TIMESTAMP, SAMPLE_NO
1000,1,0,1000,27775,110,1000,46136,393,284,4/23/2024 1:23:22 PM,0
1000,2,0,1000,27832,109,1000,42190,413,263,4/23/2024 1:23:22 PM,0
1000,3,0,1000,32426,108,999.923847578196,41522,434,242,4/23/2024 1:23:22 PM,0
1000,4,0,1000,35024,108,999.695413509548,41100,434,239,4/23/2024 1:23:23 PM,0
1000,5,0,1000,35044,107,999.695413509548,40058,455,220,4/23/2024 1:23:23 PM,0
1000,6,1,1000,33343,106,999.314767377287,40037,476,201,4/23/2024 1:23:23 PM,0
1000,7,0,999.923847578196,27269,106,998.782025129912,38982,487,219,4/23/2024 1:23:23 PM,0
1000,8,0,1000,26249,105,998.782025129912,38122,487,215,4/23/2024 1:23:24 PM,0
1000,8,0,1000,27678,104,998.097349045873,36869,509,198,4/23/2024 1:23:24 PM,0
1000,8,0,1000,30333,103,997.260947684137,33356,531,185,4/23/2024 1:23:24 PM,0
1000,9,0,1000,34820,104,996.273075820661,39444,509,190,4/23/2024 1:23:24 PM,0
1000,9,0,1000,37056,103,997.260947684137,35386,531,177,4/23/2024 1:23:24 PM,0
1000,9,0,1000,38079,103,996.273075820661,28410,531,172,4/23/2024 1:23:25 PM,0
1000,9,1,1000,36911,103,996.273075820661,29396,518,144,4/23/2024 1:23:25 PM,0
1000,9,2,999.923847578196,29888,104,996.273075820661,29747,518,140,4/23/2024 1:23:25 PM,0
1000,10,1,999.695413509548,27875,105,997.260947684137,34905,498,148,4/23/2024 1:23:25 PM,0
1000,11,0,999.923847578196,27778,106,998.097349045873,37449,487,178,4/23/2024 1:23:25 PM,0
1000,12,0,1000,29809,105,998.782025129912,35069,487,173,4/23/2024 1:23:26 PM,0
1000,13,0,1000,33375,104,998.097349045873,28894,509,156,4/23/2024 1:23:26 PM,0
1000,14,0,1000,35941,105,997.260947684137,37106,487,165,4/23/2024 1:23:26 PM,0
1000,15,0,1000,39650,104,998.097349045873,33975,509,148,4/23/2024 1:23:26 PM,0
1000,16,1,1000,38410,104,997.260947684137,35565,518,110,4/23/2024 1:23:27 PM,0
1000,17,2,999.923847578196,29937,104,997.260947684137,30374,518,106,4/23/2024 1:23:27 PM,0
