THRESHOLD, SCORE, UPPER ANGLE, UPPER THRESHOLD, UPPER_LOAD_CELL, LOWER ANGLE, LOWER THRESHOLD, LOWER_LOAD_CELL, DEP, DEM, TIMESTAMP, SAMPLE_NO
1000,0,7,1000,28337,109,999.923847578196,29850,490,400,4/28/2024 7:06:05 PM,1
1000,0,7,996.273075820661,28387,110,999.923847578196,34400,474,412,4/28/2024 7:06:06 PM,1
1000,0,6,996.273075820661,28915,110,1000,34850,487,427,4/28/2024 7:06:06 PM,1
1000,1,5,997.260947684137,29778,111,1000,35564,473,440,4/28/2024 7:06:06 PM,1
1000,2,4,998.097349045873,30267,110,999.923847578196,27728,485,456,4/28/2024 7:06:06 PM,1
1000,3,4,998.782025129912,28251,111,1000,29313,485,452,4/28/2024 7:06:06 PM,1
1000,4,3,998.782025129912,27716,111,999.923847578196,34998,472,465,4/28/2024 7:06:07 PM,1
1000,5,2,999.314767377287,27857,112,999.923847578196,39099,473,497,4/28/2024 7:06:07 PM,1
1000,6,2,999.695413509548,31850,111,999.695413509548,34818,484,476,4/28/2024 7:06:07 PM,1
1000,7,1,999.695413509548,41602,112,999.923847578196,37913,473,490,4/28/2024 7:06:07 PM,1
1000,8,2,999.923847578196,44220,111,999.695413509548,35880,484,469,4/28/2024 7:06:08 PM,1
1000,9,2,999.695413509548,43565,111,999.923847578196,28844,484,466,4/28/2024 7:06:08 PM,1
1000,10,3,999.695413509548,37104,111,999.923847578196,33937,472,443,4/28/2024 7:06:08 PM,1
1000,11,4,999.314767377287,36018,112,999.923847578196,43685,472,439,4/28/2024 7:06:08 PM,1
1000,12,4,998.782025129912,35022,111,999.695413509548,37927,485,419,4/28/2024 7:06:08 PM,1
1000,13,5,998.782025129912,34012,111,999.923847578196,31286,473,397,4/28/2024 7:06:09 PM,1
1000,14,4,998.097349045873,32970,111,999.923847578196,37611,485,411,4/28/2024 7:06:09 PM,1
1000,15,4,998.782025129912,40535,111,999.923847578196,39117,485,406,4/28/2024 7:06:09 PM,1
1000,16,4,998.782025129912,46095,110,999.923847578196,36012,485,403,4/28/2024 7:06:09 PM,1
1000,17,5,998.782025129912,40100,109,1000,33017,503,346,4/28/2024 7:06:10 PM,1
1000,18,6,998.097349045873,35007,110,999.923847578196,39014,487,360,4/28/2024 7:06:10 PM,1
