THRESHOLD, SCORE, UPPER ANGLE, UPPER THRESHOLD, UPPER_LOAD_CELL, LOWER ANGLE, LOWER THRESHOLD, LOWER_LOAD_CELL, DEP, DEM, TIMESTAMP, SAMPLE_NO
1000,1,0,1000,32491,110,1000,31777,393,284,2/11/2024 7:48:48 PM,0
1000,2,0,1000,32489,110,1000,32387,393,282,2/11/2024 7:48:48 PM,0
1000,3,0,1000,32362,110,1000,33975,393,278,2/11/2024 7:48:49 PM,0
1000,4,0,1000,34538,111,1000,38074,373,295,2/11/2024 7:48:49 PM,0
1000,5,0,1000,35498,110,999.923847578196,32400,393,273,2/11/2024 7:48:49 PM,0
1000,6,0,1000,34464,111,1000,34333,373,289,2/11/2024 7:48:49 PM,0
1000,7,0,1000,31940,111,999.923847578196,40539,373,287,2/11/2024 7:48:49 PM,0
1000,7,0,1000,32510,111,999.923847578196,36537,373,284,2/11/2024 7:48:50 PM,0
1000,8,0,1000,40048,110,999.923847578196,32420,393,260,2/11/2024 7:48:50 PM,0
1000,8,0,1000,42197,111,1000,40109,373,278,2/11/2024 7:48:50 PM,0
1000,9,1,1000,38134,110,999.923847578196,38030,393,254,2/11/2024 7:48:50 PM,0
1000,10,2,999.923847578196,37912,110,1000,34990,393,251,2/11/2024 7:48:50 PM,0
1000,10,2,999.695413509548,36915,111,1000,42067,373,269,2/11/2024 7:48:51 PM,0
1000,10,3,999.695413509548,36514,110,999.923847578196,40161,381,232,2/11/2024 7:48:51 PM,0
1000,10,4,999.314767377287,35023,110,1000,37939,381,229,2/11/2024 7:48:51 PM,0
1000,11,4,998.782025129912,35869,109,1000,37035,402,204,2/11/2024 7:48:51 PM,0
1000,11,5,998.782025129912,34898,108,999.923847578196,36394,409,167,2/11/2024 7:48:51 PM,0
1000,12,4,998.097349045873,33438,108,999.695413509548,32986,422,175,2/11/2024 7:48:52 PM,0
1000,13,4,998.782025129912,33372,108,999.695413509548,41002,422,173,2/11/2024 7:48:52 PM,0
1000,14,3,998.782025129912,37093,108,999.695413509548,38587,422,169,2/11/2024 7:48:52 PM,0
1000,15,3,999.314767377287,37465,107,999.695413509548,34353,443,145,2/11/2024 7:48:52 PM,0
1000,16,4,999.314767377287,32996,108,999.314767377287,41168,422,162,2/11/2024 7:48:53 PM,0
1000,17,3,998.782025129912,31295,107,999.695413509548,40161,443,138,2/11/2024 7:48:53 PM,0
1000,18,3,999.314767377287,29718,107,999.314767377287,34328,443,134,2/11/2024 7:48:53 PM,0
1000,19,2,999.314767377287,33840,107,999.314767377287,38918,455,144,2/11/2024 7:48:53 PM,0
1000,20,2,999.695413509548,36585,107,999.314767377287,38527,455,140,2/11/2024 7:48:53 PM,0
1000,21,2,999.695413509548,37994,106,999.314767377287,33472,476,117,2/11/2024 7:48:54 PM,0
1000,22,3,999.695413509548,35981,107,998.782025129912,39014,443,119,2/11/2024 7:48:54 PM,0
1000,23,4,999.314767377287,33963,106,999.314767377287,37483,463,94,2/11/2024 7:48:54 PM,0
